ARK | Intel® Product Specification Comparison
01/25/2024 11:22:34 AM
 ,Intel® Core™ i9-12900TE Processor ,Intel® Core™ i9-12900E Processor ,Intel® Core™ i9-12900H Processor ,Intel® Core™ i9-12900HK Processor ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-1270PE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i5-1240P Processor ,Intel® Core™ i5-12450H Processor ,Intel® Core™ i3-12100F Processor ,Intel® Core™ i3-12100TE Processor ,Intel® Core™ i3-12100E Processor ,Intel® Core™ i3-12300HE Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i3-12100 Processor ,Intel® Core™ i5-12400 Processor ,Intel® Core™ i5-12400F Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i9-12900 Processor ,Intel® Core™ i9-12900F Processor ,Intel® Core™ i9-12900T Processor ,Intel Atom® Processor P5362 ,Intel Atom® Processor P5352 ,Intel Atom® Processor P5342 ,Intel Atom® Processor P5332 ,Intel Atom® Processor P5322 ,Intel Atom® Processor C5325 ,Intel Atom® Processor C5320 ,Intel Atom® Processor C5315 ,Intel Atom® Processor C5310 ,Intel Atom® Processor C5125 ,Intel Atom® Processor C5115 ,Intel® Pentium® Gold G7400 Processor ,Intel® Core™ i3-12300HL Processor ,Intel® Core™ i3-12300 Processor ,Intel® Core™ i9-12900KS Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Xeon® D-1736NT Processor ,Intel® Xeon® D-1733NT Processor ,Intel® Xeon® D-1746TER Processor ,Intel® Xeon® D-1749NT Processor ,Intel® Xeon® D-1713NT Processor ,Intel® Xeon® D-1735TR Processor ,Intel® Xeon® D-1713NTE Processor ,Intel® Xeon® D-1715TER Processor ,Intel® Xeon® D-1732TE Processor ,Intel® Xeon® D-1718T Processor ,Intel® Xeon® D-1712TR Processor ,Intel® Xeon® D-1714 Processor ,Intel® Xeon® D-1739 Processor ,Intel® Xeon® D-1736 Processor ,Intel® Xeon® D-1726 Processor ,Intel® Xeon® D-1722NE Processor ,Intel® Xeon® D-1734NT Processor ,Intel® Xeon® D-1702 Processor ,Intel® Xeon® D-1747NTE Processor ,Intel® Xeon® D-1748TE Processor ,Intel® Xeon® D-2712T Processor ,Intel® Xeon® D-2733NT Processor ,Intel® Xeon® D-2738 Processor ,Intel® Xeon® D-2745NX Processor ,Intel® Xeon® D-2753NT Processor ,Intel® Xeon® D-2757NX Processor ,Intel® Xeon® D-2776NT Processor ,Intel® Xeon® D-2777NX Processor ,Intel® Xeon® D-2766NT Processor ,Intel® Xeon® D-2779 Processor ,Intel® Xeon® D-2795NT Processor ,Intel® Xeon® D-2799 Processor ,Intel® Xeon® D-2798NX Processor ,Intel® Xeon® D-2798NT Processor ,Intel® Xeon® D-2752NTE Processor ,Intel® Xeon® D-2752TER Processor ,Intel® Xeon® D-2796NT Processor ,Intel® Xeon® D-2775TE Processor ,Intel® Xeon® D-2796TE Processor ,Intel® Xeon® D-2786NTE Processor ,Intel® Core™ i7-1280P Processor ,Intel® Core™ i7-1260P Processor ,Intel® Core™ i7-1270P Processor ,Intel® Core™ i5-1250P Processor ,Intel® Core™ i3-1220P Processor ,Intel® Core™ i7-1265U Processor ,Intel® Core™ i7-1255U Processor ,Intel® Core™ i5-1245U Processor ,Intel® Core™ i5-1235U Processor ,Intel® Pentium® Gold Processor 8505 ,Intel® Core™ i3-1215U Processor ,Intel® Celeron® Processor 7305 ,Intel® Pentium® Gold Processor 8505 ,Intel® Core™ i5-1235U Processor ,Intel® Core™ i3-1215U Processor ,Intel® Pentium® Gold Processor 8500 ,Intel® Celeron® Processor 7300 ,Intel® Core™ i3-1210U Processor ,Intel® Core™ i5-1240U Processor ,Intel® Core™ i5-1230U Processor ,Intel® Core™ i7-1250U Processor ,Intel® Core™ i7-1260U Processor ,Intel® Celeron® Processor 7305E ,Intel® Core™ i5-1250PE Processor ,Intel® Core™ i3-1215UE Processor ,Intel® Core™ i3-1220PE Processor ,Intel® Core™ i7-1265UE Processor ,Intel® Core™ i5-1245UE Processor ,Intel® Core™ i5-12600HX Processor ,Intel® Core™ i9-12950HX Processor ,Intel® Core™ i9-12900HX Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i5-12450HX Processor ,Intel® Core™ i7-12650HX Processor ,Intel Atom® Processor P5742 ,Intel Atom® Processor P5721 ,Intel Atom® Processor P5752 ,Intel Atom® Processor P5731 ,Intel® Xeon® D-2739NT Processor ,Intel® Xeon® D-1731NTE Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i5-12600HL Processor ,Intel® Core™ i5-12500HL Processor ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i5-13600K Processor ,Intel® Core™ i5-13600KF Processor ,Intel® Core™ i5-13400 Processor ,Intel® Core™ i9-13900K Processor ,Intel® Core™ i9-13900KF Processor ,Intel® Core™ i9-13900T Processor ,Intel® Core™ i9-13900 Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i5-13400F Processor ,Intel® Core™ i9-13900F Processor ,Intel® Core™ i5-13600T Processor ,Intel® Core™ i5-13600 Processor ,Intel® Core™ i3-13100 Processor ,Intel® Core™ i3-13100F Processor ,Intel® Core™ i5-13400T Processor ,Intel® Core™ i5-13500T Processor ,Intel® Core™ i3-13100T Processor ,Intel® Core™ i5-13500 Processor ,Intel® Core™ i5-1245UL Processor ,Intel® Core™ i5-1235UL Processor ,Intel® Core™ i3-1215UL Processor ,Intel® Celeron® Processor 7305L ,Intel® Core™ i7-1255UL Processor ,Intel® Core™ i7-1265UL Processor ,Intel® Processor N100 ,Intel® Processor N200 ,Intel® Core™ i3-N305 Processor ,Intel® Core™ i3-N300 Processor ,Intel® Core™ i9-13900E Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i5-1350P Processor ,Intel® Core™ i3-13100TE Processor ,Intel® Core™ i5-13505H Processor ,Intel® Core™ i5-13500TE Processor ,Intel® Core™ i5-1340P Processor ,Intel® Core™ i5-1345U Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i5-13450HX Processor ,Intel® Core™ i5-1350PE Processor ,Intel® Core™ i5-13500E Processor ,Intel® Core™ i9-13900H Processor ,Intel® Core™ i3-1315U Processor ,Intel® Core™ i9-13980HX Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-1365U Processor ,Intel® Processor U300 ,Intel® Core™ i5-1334U Processor ,Intel® Core™ i9-13900HK Processor ,Intel® Core™ i5-13600H Processor ,Intel® Core™ i5-13600HX Processor ,Intel® Core™ i7-1360P Processor ,Intel® Core™ i5-13500HX Processor ,Intel® Core™ i5-1340PE Processor ,Intel® Core™ i3-1320PE Processor ,Intel® Core™ i9-13900HX Processor ,Intel® Core™ i9-13905H Processor ,Intel® Core™ i5-13420H Processor ,Intel® Core™ i7-1370PE Processor ,Intel® Core™ i7-1375PRE Processor ,Intel® Core™ i5-13600HRE Processor ,Intel® Core™ i3-1320PRE Processor ,Intel® Core™ i3-13300HRE Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i5-1350PRE Processor ,Intel® Core™ i5-1345URE Processor ,Intel® Core™ i3-1315URE Processor 
Essentials
Product Collection,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel® Pentium® Gold Processor Series,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,Intel® Pentium® Gold Processor Series,12th Generation Intel® Core™ i3 Processors,Intel® Celeron® Processor 7000 Series,Intel® Pentium® Gold Processor Series,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,Intel® Pentium® Gold Processor Series,Intel® Celeron® Processor 7000 Series,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,Intel® Celeron® Processor 7000 Series,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i3 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i7 Processors,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel® Xeon® D Processor,Intel® Xeon® D Processor,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,Intel Atom® Processor X Series,Intel Atom® Processor X Series,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i5 Processors,12th Generation Intel® Core™ i3 Processors,Intel® Celeron® Processor 7000 Series,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,Intel® Processor N-series,Intel® Processor N-series,Intel® Core™ i3 Processor N-series,Intel® Core™ i3 Processor N-series,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,Intel® Processor U-series,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i3 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i5 Processors,13th Generation Intel® Core™ i3 Processors
Vertical Segment,Embedded,Embedded,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile,Desktop,Embedded,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Embedded,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Server,Server,Server,Server,TBD,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Embedded,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Processor Number,i9-12900TE,i9-12900E,i9-12900H,i9-12900HK,i7-12700TE,i7-1270PE,i7-12700E,i5-1240P,i5-12450H,i3-12100F,i3-12100TE,i3-12100E,i3-12300HE,i7-12700H,i3-12100,i5-12400,i5-12400F,i7-12700,i7-12700F,i7-12700T,i9-12900,i9-12900F,i9-12900T,P5362,P5352,P5342,P5332,P5322,C5325,C5320,C5315,C5310,C5125,C5115,G7400,i3-12300HL,i3-12300,i9-12900KS,i7-12800HE,i7-12800HX,i7-12800H,i7-12650H,D-1736NT,D-1733NT,D-1746TER,D-1749NT,D-1713NT,D-1735TR,D-1713NTE,D-1715TER,D-1732TE,D-1718T,D-1712TR,D-1714,D-1739,D-1736,D-1726,D-1722NE,D-1734NT,D-1702,D-1747NTE,D-1748TE,D-2712T,D-2733NT,D-2738,D-2745NX,D-2753NT,D-2757NX,D-2776NT,D-2777NX,D-2766NT,D-2779,D-2795NT,D-2799,D-2798NX,D-2798NT,D-2752NTE,D-2752TER,D-2796NT,D-2775TE,D-2796TE,D-2786NTE,i7-1280P,i7-1260P,i7-1270P,i5-1250P,i3-1220P,i7-1265U,i7-1255U,i5-1245U,i5-1235U,8505,i3-1215U,7305,8505,i5-1235U,i3-1215U,8500,7300,i3-1210U,i5-1240U,i5-1230U,i7-1250U,i7-1260U,7305E,i5-1250PE,i3-1215UE,i3-1220PE,i7-1265UE,i5-1245UE,i5-12600HX,i9-12950HX,i9-12900HX,i7-12850HX,i7-12700HL,i5-12450HX,i7-12650HX,P5742,P5721,P5752,P5731,D-2739NT,D-1731NTE,i7-12800HL,i5-12600HL,i5-12500HL,6416RE,X6214RE,i7-13700KF,i7-13700,i7-13700F,i7-13700T,i5-13600K,i5-13600KF,i5-13400,i9-13900K,i9-13900KF,i9-13900T,i9-13900,i7-13700K,i5-13400F,i9-13900F,i5-13600T,i5-13600,i3-13100,i3-13100F,i5-13400T,i5-13500T,i3-13100T,i5-13500,i5-1245UL,i5-1235UL,i3-1215UL,7305L,i7-1255UL,i7-1265UL,N100,N200,i3-N305,i3-N300,i9-13900E,i7-13650HX,i5-1350P,i3-13100TE,i5-13505H,i5-13500TE,i5-1340P,i5-1345U,i7-13700H,i7-13620H,i7-13700TE,i5-13450HX,i5-1350PE,i5-13500E,i9-13900H,i3-1315U,i9-13980HX,i7-13705H,i7-1365U,U300,i5-1334U,i9-13900HK,i5-13600H,i5-13600HX,i7-1360P,i5-13500HX,i5-1340PE,i3-1320PE,i9-13900HX,i9-13905H,i5-13420H,i7-1370PE,i7-1375PRE,i5-13600HRE,i3-1320PRE,i3-13300HRE,i7-13800HRE,i5-1350PRE,i5-1345URE,i3-1315URE
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,Intel 7,Intel 7,Intel 7,10 nm,10 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
