OpenCL* Support,3.0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Format Codec Engines,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Quick Sync Video,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Displays Supported ‡,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device ID,0xA7A0,0xA7A1,0xA7A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Expansion Options
Intel® Thunderbolt™ 4,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microprocessor PCIe Revision,Gen 4,Gen 4,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of PCI Express Lanes,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Package Specifications
Sockets Supported,FCBGA1744,FCBGA1744,FCBGA1744,PPGA604,PPGA478,PPGA478,PPGA478,PPGA478,PLGA478 | PLGA775 | PPGA478,PLGA775,PLGA478 | PLGA775,PPGA478,PPGA478,PLGA478 | PLGA775,PPGA478,PLGA478 | PLGA775 | PPGA478,PLGA478 | PLGA775,PPGA478,PLGA478 | PLGA775 | PPGA478,PPGA478,PLGA478 | PLGA775 | PPGA478,H-PBGA478 | H-PBGA479 | PPGA478,H-PBGA478 | H-PBGA479 | PPGA478,H-PBGA479,PPGA478,PPGA478,PPGA478,PPGA370 | SEPP242 | SEPP540,PPGA370 | SEPP220 | SEPP242,PPGA370 | SEPP242 | SEPP540,PPGA370,H-PBGA495 | PPGA370,PPGA370,PPGA603 | PPGA604,PPGA603 | PPGA604,PPGA603 | PPGA604,,,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,H-PBGA479,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PPGA478,PLGA775,PLGA775,PLGA775,PLGA775,LGA775 | PLGA775,PLGA775 | PPGA478,PLGA775,PLGA775,PLGA775 | PPGA478,PLGA775,PLGA775 | PPGA478,LGA775 | PLGA775,PLGA775,PLGA775,PLGA775,PLGA775,PLGA775 | PPGA775,LGA775 | PLGA775,PLGA775,,,,,,,,LGA775 | PLGA775,PLGA775,PLGA775,PLGA775,H-PBGA479 | PPGA370 | PPGA478,PPGA370 | SECC2495,PPGA370 | SECC2495,PPGA370 | SECC2495 | SECC2576,PPGA370 | SECC2495,PPGA370 | SECC2370 | SECC2495,PPGA370 | SECC2495,PPGA370 | SECC2495,H-PBGA479 | PPGA478,PPGA478,H-PBGA479 | PPGA478,,H-PBGA479 | PPGA478,H-PBGA479,H-PBGA479,PLGA775,PPGA604,H-PBGA479,H-PBGA479,H-PBGA479
Max CPU Configuration,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJUNCTION,100°C,100°C,100°C,,,,,,,,,,,,,,,,,,,100°C,100°C,100°C,,,,,,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,100°C
Package Size,50 mm x 25 mm,50mm x25mm,50mm x25mm,42.5mm x 42.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,,37.5mm x 37.5mm,35mm x 35mm,,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,49mm x 49mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,42.5mm x 42.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,31mm x 31mm,31mm x 31mm,,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,,,,37.5mm x 37.5mm,,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,,,,,,,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,42.5mm x 42.5mm,,,
TCASE,,,,86°C,67°C,67°C,67°C,67°C,67.7°C,67.7°C,67.7°C,67°C,67°C,67.7°C,67°C,67°C,67.7°C,67°C,67.7°C,67°C,67.7°C,,,,76°C,68°C,72°C,85°C,85°C,85°C,90°C,80°C,80°C,70°C,C1+D1=74°C; M0=72°C,C1+D1=75°C; M0=72°C,81°C,81°C,,,,,,,,,,69°C,70°C,71°C,71°C,72°C,70°C,70°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,67.7°C,72.8°C,67.7°C,67.7°C,72.8°C,66.6°C,66.6°C,70.8°C,66°C,70.8°C,69.4°C,69.4°C,73.5°C,73.5°C,73.5°C,73.5°C,73.5°C,64.1°C,64.1°C,69.8°C,69.8°C,69°C,75°C,75°C,82°C,80°C,80°C,80°C,80°C,,,,,,,,69.8°C,72°C,100°C,100°C,
Processing Die Size,,,,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,83 mm2,87 mm2,87 mm2,131 mm2,131 mm2,131 mm2,154 mm2,154 mm2,154 mm2,90 mm2,90 mm2,90 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,80 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,131 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,135 mm2,135 mm2,135 mm2,,135 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,112 mm2,206 mm2,206 mm2,206 mm2,206 mm2,,,,,,,,,83 mm2,87 mm2,87 mm2,87 mm2,87 mm2,83 mm2,87 mm2,206 mm2,112 mm2,,,83 mm2
# of Processing Die Transistors,,,,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,77 million,144 million,144 million,55 million,55 million,55 million,19 million,19 million,19 million,28 million,28 million,28 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,44 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,55 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,169 million,169 million,169 million,,169 million,125 million,125 million,125 million,125 million,125 million,125 million,125 million,230 million,230 million,230 million,230 million,,,,,,,,,77 million,144 million,144 million,144 million,144 million,77 million,144 million,230 million,125 million,,,77 million

Advanced Technologies
Intel® Time Coordinated Computing (Intel® TCC)‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Gaussian & Neural Accelerator,3.0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thread Director,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Image Processing Unit,6.0,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Smart Sound Technology,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Wake on Voice,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® High Definition Audio,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPI SoundWire*,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,,,
Instruction Set,64-bit,64-bit,64-bit,64-bit,32-bit,32-bit,32-bit,32-bit,64-bit,32-bit,64-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,32-bit,32-bit,32-bit,32-bit,64-bit,32-bit,64-bit,32-bit,32-bit,64-bit,32-bit,64-bit,64-bit,64-bit,32-bit,64-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,32-bit,64-bit,64-bit,32-bit,32-bit,32-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermal Monitoring Technologies,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,No,,,,
Intel® Flex Memory Access,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Volume Management Device (VMD),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology ‡,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® Virtualization Technology (VT-x) ‡,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® 64 ‡,,,,Yes,No,No,No,No,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,Yes,No,Yes,No,,Yes,No,Yes,Yes,Yes,,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,,,
Idle States,,,,Yes,No,No,No,No,,Yes,Yes,No,,Yes,No,,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,No,No,No,No,No,No,No,Yes,Yes,,,
Enhanced Intel SpeedStep® Technology,,,,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,,,,No,No,No,,No,No,No,No,,No,No,Yes,Yes,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,Yes
Intel® Demand Based Switching,,,,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,No,No,No,,No,No,No,No,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,No,Yes,,,
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,No,,,,

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Threat Detection Technology (TDT),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Active Management Technology (AMT) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Standard Manageability (ISM) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Remote Platform Erase (RPE) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® One-Click Recovery ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Hardware Shield Eligibility ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Control-Flow Enforcement Technology,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Total Memory Encryption - Multi Key,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Total Memory Encryption,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® AES New Instructions,Yes,Yes,Yes,,No,No,No,,,No,No,No,,No,No,,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,No,,,,
Secure Key,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® OS Guard,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,,No,,No,,No,No,No,No,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,No,No,No,No,No,No,No,No,No,,,
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,
Intel® Boot Guard,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode-based Execute Control (MBEC),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Stable IT Platform Program (SIPP),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Performance Specifications
# of Cores,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
Processor Base Frequency,,,,2.80 GHz,2.26 GHz,2.26 GHz,2.40 GHz,2.53 GHz,2.53 GHz,2.53 GHz,2.53 GHz,2.66 GHz,2.66 GHz,2.66 GHz,2.80 GHz,2.80 GHz,2.80 GHz,2.93 GHz,2.93 GHz,3.06 GHz,3.06 GHz,1.30 GHz,1.50 GHz,1.00 GHz,1.70 GHz,2.00 GHz,2.50 GHz,300 MHz,366 MHz,433 MHz,566 MHz,733 MHz,850 MHz,2.00 GHz,2.40 GHz,2.80 GHz,1.60 GHz,2.40 GHz,1.20 GHz,1.40 GHz,1.50 GHz,1.60 GHz,2.20 GHz,2.40 GHz,650 MHz,1.70 GHz,2.20 GHz,2.00 GHz,2.20 GHz,2.40 GHz,2.40 GHz,2.50 GHz,2.60 GHz,2.80 GHz,2.66 GHz,2.66 GHz,3.06 GHz,2.80 GHz,2.80 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.40 GHz,3.80 GHz,3.20 GHz,3.40 GHz,3.60 GHz,3.46 GHz,3.73 GHz,2.80 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.00 GHz,2.66 GHz,2.80 GHz,3.00 GHz,3.20 GHz,1.26 GHz,1.00 GHz,1.00 GHz,600 MHz,700 MHz,733 MHz,850 MHz,866 MHz,1.60 GHz,1.60 GHz,1.80 GHz,1.80 GHz,2.00 GHz,1.10 GHz,1.40 GHz,3.20 GHz,3.20 GHz,800 MHz,933 MHz,600 MHz
