ARK | Intel® Product Specification Comparison
01/24/2024 10:43:55 AM
 ,Intel® Core™ i7-1375PRE Processor ,Intel® Core™ i7-1366URE Processor ,Intel® Core™ i7-1365URE Processor ,Intel® Core™ i5-1345URE Processor ,Intel® Core™ i3-1315URE Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ 3 processor 100U ,Intel® Core™ Duo Processor L2400 ,Intel® Core™ Duo Processor T2500 ,Intel® Core™ Duo Processor U2500 ,Intel® Core™2 Duo Processor E6300 ,Intel® Core™2 Duo Processor E6400 ,Intel® Core™2 Duo Processor E6600 ,Intel® Core™2 Duo Processor E6700 ,Intel® Core™2 Duo Processor T7400 ,Intel® Core™2 Duo Processor T7600 ,Intel® Core™2 Extreme Processor X6800 ,Intel® Core™2 Duo Processor E4300 ,Intel® Core™2 Duo Processor L7200 ,Intel® Core™2 Duo Processor L7400 ,Intel® Core™2 Extreme Processor QX6700 ,Intel® Core™2 Duo Processor E4400 ,Intel® Core™2 Duo Processor E6320 ,Intel® Core™2 Duo Processor E6420 ,Intel® Core™2 Duo Processor L7300 ,Intel® Core™2 Duo Processor L7500 ,Intel® Core™2 Duo Processor T7100 ,Intel® Core™2 Duo Processor T7300 ,Intel® Core™2 Duo Processor T7500 ,Intel® Core™2 Duo Processor T7700 ,Intel® Core™2 Duo Processor U7500 ,Intel® Core™2 Duo Processor U7600 ,Intel® Core™2 Quad Processor Q6600 ,Intel® Core™2 Extreme Processor QX6800 ,Intel® Core™2 Duo Processor E4500 ,Intel® Core™2 Duo Processor E6540 ,Intel® Core™2 Duo Processor E6550 ,Intel® Core™2 Duo Processor E6750 ,Intel® Core™2 Duo Processor E6850 ,Intel® Core™2 Extreme Processor X7800 ,Intel® Core™2 Extreme Processor QX6850 ,Intel® Core™2 Quad Processor Q6700 ,Intel® Core™2 Duo Processor T7250 ,Intel® Core™2 Duo Processor T7800 ,Intel® Core™2 Extreme Processor X7900 ,Intel® Core™2 Solo Processor U2100 ,Intel® Core™2 Solo Processor U2200 ,Intel® Core™2 Duo Processor E4600 ,Intel® Core™2 Duo Processor L7700 ,Intel® Core™2 Duo Processor T8300 ,Intel® Core™2 Duo Processor E8200 ,Intel® Core™2 Duo Processor E8400 ,Intel® Core™2 Duo Processor E8500 ,Intel® Core™2 Duo Processor T5750 ,Intel® Core™2 Duo Processor T8100 ,Intel® Core™2 Duo Processor T9300 ,Intel® Core™2 Duo Processor T9500 ,Intel® Core™2 Duo Processor U7700 ,Intel® Core™2 Extreme Processor QX9650 ,Intel® Core™2 Quad Processor Q9300 ,Intel® Core™2 Quad Processor Q9450 ,Intel® Core™2 Quad Processor Q9550 ,Intel® Core™2 Duo Processor E4700 ,Intel® Core™2 Duo Processor E8190 ,Intel® Core™2 Extreme Processor X9000 ,Intel® Core™2 Extreme Processor QX9770 ,Intel® Core™2 Extreme Processor QX9775 ,Intel® Core™2 Duo Processor E8300 ,Intel® Core™2 Duo Processor T5670 ,Intel® Core™2 Duo Processor E7200 ,Intel® Core™2 Quad Processor Q9400 ,Intel® Core™2 Quad Processor Q9650 ,Intel® Core™2 Extreme Processor X9100 ,Intel® Core™2 Duo Processor T9400 ,Intel® Core™2 Duo Processor T9600 ,Intel® Core™2 Duo Processor P9500 ,Intel® Core™2 Duo Processor P8600 ,Intel® Core™2 Duo Processor P8400 ,Intel® Core™2 Duo Processor E8600 ,Intel® Core™2 Duo Processor E7300 ,Intel® Core™2 Solo Processor ULV SU3300 ,Intel® Core™2 Duo Processor P7350 ,Intel® Core™2 Duo Processor U7500 ,Intel® Core™2 Quad Processor Q9100 
TDP,28 W,15 W,15 W,15 W,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Power,20 W,12 W,12 W,12 W,12 W,45 W,45 W,45 W,45 W,45 W,,,,12 W,,,,,,,,,,,,,,,,12 W,12 W,,,,,12 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Assured Frequency,1.3 GHz,1.2 GHz,1.20 GHz,1.00 GHz,800 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Power,35 W,28 W,28 W,28 W,28 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Assured Frequency,2 GHz,2.7 GHz,2.70 GHz,2.50 GHz,2.50 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost Frequency,,,,,,5.8 GHz,5.2 GHz,5.5 GHz,,,6 GHz,,,,,,,,,,,,6 GHz,,,,,5.8 GHz,,,,,,5.8 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,5.7 GHz,5.1 GHz,5.4 GHz,,,5.8 GHz,,,,,,,5.4 GHz,,5.6 GHz,,,5.8 GHz,,5.6 GHz,,5.5 GHz,5.6 GHz,5.2 GHz,,,,,5.6 GHz,5.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-core Base Frequency,,,,,,2.2 GHz,2.2 GHz,2.1 GHz,2.4 GHz,2.6 GHz,3.2 GHz,3.5 GHz,2.7 GHz,1.2 GHz,2.5 GHz,3.5 GHz,1.7 GHz,2.1 GHz,1.8 GHz,3.4 GHz,2.6 GHz,3.5 GHz,3.2 GHz,2.5 GHz,3.4 GHz,1.5 GHz,1.1 GHz,2 GHz,1.3 GHz,1.8 GHz,1.4 GHz,3.5 GHz,2.7 GHz,2 GHz,2.1 GHz,1.2 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-core Base Frequency,,,,,,1.6 GHz,1.6 GHz,1.5 GHz,1.8 GHz,1.9 GHz,2.4 GHz,,,900 MHz,1.8 GHz,2.6 GHz,1.2 GHz,1.5 GHz,1.3 GHz,2.5 GHz,1.9 GHz,,2.4 GHz,1.8 GHz,2.5 GHz,1.1 GHz,800 MHz,1.5 GHz,900 MHz,1.2 GHz,900 MHz,2.6 GHz,2 GHz,1.5 GHz,1.5 GHz,900 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total L2 Cache,,,,,,,,,,,32 MB,5 MB,5 MB,,9.5 MB,20 MB,11.5 MB,28 MB,20 MB,28 MB,11.5 MB,5 MB,32 MB,9.5 MB,28 MB,9.5 MB,32 MB,32 MB,28 MB,,,20 MB,20 MB,32 MB,28 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q4'23,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q1'06,Q1'06,Q1'06,Q3'06,Q3'06,Q3'06,Q3'06,Q3'06,Q3'07,Q3'06,Q3'06,Q1'07,Q3'06,Q4'06,Q2'07,Q2'07,Q2'07,Q2'07,Q3'06,Q2'07,Q2'07,Q3'06,Q2'07,Q3'06,Q2'07,Q1'07,Q2'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q3'07,Q4'07,Q3'07,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q4'07,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q2'08,Q2'08,Q2'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'08,Q3'06,Q3'08
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
Functional Safety (FuSa) Documentation Available,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicing Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates

Memory Specifications
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB,64 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,96 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,96 GB,96 GB,192 GB,192 GB,192 GB,192 GB,96 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory Types,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT/s Up to LPDDR4x 4267 MT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,No,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,No,No,Yes,Yes,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Memory Bandwidth,,,,,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Address Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32-bit,32-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

GPU Specifications
GPU Name‡,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 730,Intel® Graphics,,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,,Intel® UHD Graphics 730,,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Graphics,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,,Intel® Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphics Max Dynamic Frequency,1.4 GHz,1.3 GHz,1.30 GHz,1.25 GHz,1.20 GHz,1.65 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.55 GHz,1.65 GHz,1.5 GHz,1.5 GHz,1.25 GHz,,,1.55 GHz,1.6 GHz,1.55 GHz,1.6 GHz,1.55 GHz,,,1.55 GHz,,1.55 GHz,1.65 GHz,1.65 GHz,1.6 GHz,1.3 GHz,1.25 GHz,1.55 GHz,1.55 GHz,,,1.25 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution Units,96,96,96,80,64,32,16,32,16,32,32,24,24,64,,,32,32,32,32,32,,,24,,24,32,32,32,96,80,32,32,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,,4096 x 2304 @ 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Resolution (DP)‡,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,,4096 x 2304 @ 120Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirectX* Support,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12,12,12,12.1,,,12,12,12,12,12,,,12,,12,12,12,12,12.1,12.1,12,12,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenGL* Support,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.6,,,4.5,4.5,4.5,4.5,4.5,,,4.5,,4.5,4.5,4.5,4.5,4.6,4.6,4.5,4.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
