ARK | Intel® Product Specification Comparison
01/24/2024 10:42:25 AM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i5-7640X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i3-7020U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i9-7900X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i5-8250U Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i5-8350U Processor ,Intel® Core™ i3-7130U Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i5-8600K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i5-8400 Processor ,Intel® Core™ i3-8100 Processor ,Intel® Core™ i3-8350K Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i5-8305G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i9-8950HK Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i3-8130U Processor ,Intel® Core™ i3-8100H Processor ,Intel® Core™ i5-9500TE Processor ,Intel® Core™ i3-4160 Processor ,Intel® Core™ i3-4160T Processor ,Intel® Core™ i3-4170 Processor ,Intel® Core™ i3-4360T Processor ,Intel® Core™ i3-4370 Processor ,Intel® Core™ i5-4210H Processor ,Intel® Core™ i7-4720HQ Processor ,Intel® Core™ i7-4722HQ Processor ,Intel® Core™ i7-4790K Processor ,Intel® Core™ i5-4690K Processor ,Intel® Core™ i3-4370T Processor ,Intel® Core™ i3-4170T Processor ,Intel® Core™ i7-5960X Processor Extreme Edition ,Intel® Core™ i7-5930K Processor ,Intel® Core™ i7-5820K Processor ,Intel® Core™ i7-4980HQ Processor ,Intel® Core™ i7-4870HQ Processor ,Intel® Core™ i7-4770HQ Processor ,Intel® Core™ i7-4578U Processor ,Intel® Core™ i5-4308U Processor ,Intel® Core™ i5-4278U Processor ,Intel® Core™ M-5Y10 Processor ,Intel® Core™ M-5Y10a Processor ,Intel® Core™ M-5Y70 Processor ,Intel® Core™ M-5Y31 Processor ,Intel® Core™ M-5Y51 Processor ,Intel® Core™ M-5Y71 Processor ,Intel® Core™ i3-5005U Processor ,Intel® Core™ i3-5010U Processor ,Intel® Core™ i3-5015U Processor ,Intel® Core™ i3-5020U Processor ,Intel® Core™ i3-5157U Processor ,Intel® Core™ i5-5250U Processor ,Intel® Core™ i5-5257U Processor ,Intel® Core™ i5-5287U Processor ,Intel® Core™ i5-5350U Processor ,Intel® Core™ i7-5550U Processor ,Intel® Core™ i7-5557U Processor ,Intel® Core™ i7-5650U Processor ,Intel® Core™ i5-5200U Processor ,Intel® Core™ i5-5300U Processor ,Intel® Core™ i7-5500U Processor ,Intel® Core™ i7-5600U Processor ,Intel® Core™ M-5Y10c Processor ,Intel® Core™ i5-5350H Processor ,Intel® Core™ i5-5575R Processor ,Intel® Core™ i5-5675R Processor ,Intel® Core™ i7-5700HQ Processor ,Intel® Core™ i7-5750HQ Processor ,Intel® Core™ i7-5775R Processor ,Intel® Core™ i7-5850HQ Processor ,Intel® Core™ i7-5950HQ Processor ,Intel® Core™ i7-5775C Processor ,Intel® Core™ i7-5700EQ Processor ,Intel® Core™ i7-5850EQ Processor ,Intel® Core™ i5-5675C Processor ,Intel® Core™ i3-6100U Processor ,Intel® Core™ i3-6100TE Processor ,Intel® Core™ i5-6500T Processor ,Intel® Core™ i5-6500 Processor ,Intel® Core™ i5-6400 Processor ,Intel® Core™ i5-6500TE Processor ,Intel® Core™ i5-6400T Processor ,Intel® Core™ i5-6600 Processor ,Intel® Core™ i5-6600T Processor ,Intel® Core™ i5-6300U Processor ,Intel® Core™ i5-6600K Processor ,Intel® Core™ i7-6600U Processor ,Intel® Core™ i5-6200U Processor ,Intel® Core™ i7-6500U Processor ,Intel® Core™ i7-6700K Processor ,Intel® Core™ i7-6700 Processor ,Intel® Core™ m5-6Y57 Processor ,Intel® Core™ m3-6Y30 Processor ,Intel® Core™ m7-6Y75 Processor ,Intel® Core™ i7-6700T Processor ,Intel® Core™ i7-6700TE Processor ,Intel® Core™ m5-6Y54 Processor ,Intel® Core™ i5-6300HQ Processor ,Intel® Core™ i5-6440HQ Processor ,Intel® Core™ i7-6700HQ Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i3-6100H Processor ,Intel® Core™ i5-6440EQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i3-6100E Processor ,Intel® Core™ i3-6102E Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i5-6442EQ Processor ,Intel® Core™ i3-6300T Processor ,Intel® Core™ i3-6100 Processor ,Intel® Core™ i3-6300 Processor ,Intel® Core™ i3-6320 Processor ,Intel® Core™ i3-6100T Processor ,Intel® Core™ i3-6167U Processor ,Intel® Core™ i5-6360U Processor ,Intel® Core™ i3-6006U Processor ,Intel® Core™ i5-6260U Processor ,Intel® Core™ i7-6560U Processor ,Intel® Core™ i5-6287U Processor ,Intel® Core™ i5-6267U Processor ,Intel® Core™ i7-6567U Processor ,Intel® Core™ i7-6660U Processor ,Intel® Core™ i7-6650U Processor ,Intel® Core™ i5-6402P Processor ,Intel® Core™ i5-6350HQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i5-6585R Processor ,Intel® Core™ i5-6685R Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i3-6098P Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7Y75 Processor ,Intel® Core™ i3-7100U Processor ,Intel® Core™ i5-7200U Processor ,Intel® Core™ m3-7Y30 Processor ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i5-7Y54 Processor ,Intel® Core™ i3-6157U Processor ,Intel® Core™ i5-7500T Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i5-7500 Processor ,Intel® Core™ i3-7102E Processor ,Intel® Core™ i3-7101TE Processor ,Intel® Core™ i3-7100H Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i3-7101E Processor ,Intel® Core™ i3-7100E Processor ,Intel® Core™ i5-7600K Processor ,Intel® Core™ i5-7400 Processor ,Intel® Core™ i5-7600 Processor ,Intel® Core™ i5-7600T Processor ,Intel® Core™ i5-7400T Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i5-7300HQ Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i5-7440HQ Processor ,Intel® Core™ i5-7Y57 Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i5-7300U Processor ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i5-7440EQ Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i5-7267U Processor ,Intel® Core™ i5-7287U Processor ,Intel® Core™ i5-7442EQ Processor ,Intel® Core™ i5-7360U Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ m3-7Y32 Processor ,Intel® Core™ i5-7260U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor ,Intel® Core™ i3-7167U Processor 
# of Performance-cores,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Efficient-cores,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Threads,12,,8,4,12,20,16,8,8,8,4,24,12,6,12,6,4,4,28,32,36,8,8,8,8,8,12,12,12,4,4,6,4,4,4,4,4,4,8,8,8,4,4,4,16,12,12,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,8,8,8,8,8,8,8,8,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,4,4,4,8,8,4,4,4,8,8,8,8,4,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,8,8,8,4,12,12,16,20,4,4,4,4,4,4,4,4,8,4,4,4,4,8,8,8,4,4,4,4,4,4,4,8,4,4,4,4,4,4,8,8,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4
Max Turbo Frequency,4.5 GHz,4.20 GHz,4.00 GHz,,4.00 GHz,4.30 GHz,4.30 GHz,3.40 GHz,4.20 GHz,3.60 GHz,,4.30 GHz,4.70 GHz,4.30 GHz,4.60 GHz,4.00 GHz,,,4.30 GHz,4.20 GHz,4.20 GHz,4.10 GHz,4.10 GHz,3.80 GHz,4.20 GHz,4.10 GHz,4.30 GHz,4.80 GHz,4.10 GHz,3.40 GHz,,3.60 GHz,,,,,,3.50 GHz,3.60 GHz,3.40 GHz,4.40 GHz,3.90 GHz,,,3.50 GHz,3.70 GHz,3.60 GHz,4.00 GHz,3.70 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.10 GHz,2.00 GHz,2.00 GHz,2.60 GHz,2.40 GHz,2.60 GHz,2.90 GHz,,,,,,2.70 GHz,3.10 GHz,3.30 GHz,2.90 GHz,3.00 GHz,3.40 GHz,3.10 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.20 GHz,2.00 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.40 GHz,3.80 GHz,3.60 GHz,3.80 GHz,3.70 GHz,3.40 GHz,3.40 GHz,3.60 GHz,,,3.10 GHz,3.60 GHz,3.30 GHz,3.30 GHz,2.80 GHz,3.90 GHz,3.50 GHz,3.00 GHz,3.90 GHz,3.40 GHz,2.80 GHz,3.10 GHz,4.20 GHz,4.00 GHz,2.80 GHz,2.20 GHz,3.10 GHz,3.60 GHz,3.40 GHz,2.70 GHz,3.20 GHz,3.50 GHz,3.50 GHz,3.60 GHz,3.60 GHz,3.80 GHz,,3.40 GHz,3.50 GHz,,,2.80 GHz,2.70 GHz,,,,,,,3.10 GHz,,2.90 GHz,3.20 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.40 GHz,3.40 GHz,3.40 GHz,3.20 GHz,3.70 GHz,3.60 GHz,3.80 GHz,3.90 GHz,3.60 GHz,3.50 GHz,,3.80 GHz,3.60 GHz,3.70 GHz,3.50 GHz,3.60 GHz,,3.10 GHz,2.60 GHz,3.50 GHz,3.20 GHz,,3.30 GHz,3.80 GHz,3.80 GHz,,,,3.70 GHz,4.20 GHz,4.50 GHz,,,4.20 GHz,3.50 GHz,4.10 GHz,3.70 GHz,3.00 GHz,3.80 GHz,,3.50 GHz,,,3.80 GHz,3.30 GHz,4.10 GHz,3.90 GHz,3.90 GHz,3.50 GHz,,,3.90 GHz,3.60 GHz,,3.50 GHz,3.70 GHz,2.90 GHz,3.60 GHz,4.00 GHz,3.00 GHz,3.40 GHz,3.80 GHz,4.00 GHz,
Intel® Thermal Velocity Boost Frequency,3.2 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology 2.0 Frequency‡,4.7 GHz,4.20 GHz,4.00 GHz,,4.00 GHz,,,3.40 GHz,4.20 GHz,3.60 GHz,,,4.70 GHz,4.30 GHz,4.60 GHz,4.00 GHz,,,,,,4.10 GHz,4.10 GHz,3.80 GHz,4.20 GHz,4.10 GHz,4.30 GHz,,4.10 GHz,3.40 GHz,,3.60 GHz,,,,,,3.50 GHz,,,4.40 GHz,3.90 GHz,,,3.50 GHz,3.70 GHz,3.60 GHz,4.00 GHz,3.70 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.10 GHz,2.00 GHz,2.00 GHz,2.60 GHz,2.40 GHz,2.60 GHz,2.90 GHz,,,,,,2.70 GHz,3.10 GHz,3.30 GHz,2.90 GHz,3.00 GHz,3.40 GHz,3.10 GHz,2.70 GHz,2.90 GHz,3.00 GHz,3.20 GHz,2.00 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.40 GHz,3.80 GHz,3.60 GHz,3.80 GHz,3.70 GHz,3.40 GHz,3.40 GHz,3.60 GHz,,,3.10 GHz,3.60 GHz,3.30 GHz,3.30 GHz,2.80 GHz,3.90 GHz,3.50 GHz,3.00 GHz,3.90 GHz,3.40 GHz,2.80 GHz,3.10 GHz,4.20 GHz,4.00 GHz,2.80 GHz,2.20 GHz,3.10 GHz,3.60 GHz,3.40 GHz,2.70 GHz,3.20 GHz,3.50 GHz,3.50 GHz,3.60 GHz,3.60 GHz,3.80 GHz,,3.40 GHz,3.50 GHz,,,2.80 GHz,2.70 GHz,,,,,,,3.10 GHz,,2.90 GHz,3.20 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.40 GHz,3.40 GHz,3.40 GHz,3.20 GHz,3.70 GHz,3.60 GHz,3.80 GHz,3.90 GHz,3.60 GHz,3.50 GHz,,,,,,3.60 GHz,,3.10 GHz,2.60 GHz,3.50 GHz,3.20 GHz,,3.30 GHz,3.80 GHz,3.80 GHz,,,,3.70 GHz,4.20 GHz,4.50 GHz,,,4.20 GHz,3.50 GHz,4.10 GHz,3.70 GHz,3.00 GHz,3.80 GHz,,3.50 GHz,,,3.80 GHz,3.30 GHz,4.10 GHz,3.90 GHz,3.90 GHz,3.50 GHz,,,3.90 GHz,3.60 GHz,,3.50 GHz,3.70 GHz,2.90 GHz,3.60 GHz,4.00 GHz,3.00 GHz,3.40 GHz,3.80 GHz,4.00 GHz,
Performance-core Max Turbo Frequency,3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Base Frequency,4.30 GHz,4.00 GHz,1.80 GHz,2.30 GHz,3.50 GHz,3.30 GHz,3.60 GHz,1.60 GHz,1.90 GHz,1.70 GHz,2.70 GHz,2.90 GHz,3.70 GHz,3.60 GHz,3.20 GHz,2.80 GHz,3.60 GHz,4.00 GHz,3.10 GHz,2.80 GHz,2.60 GHz,3.10 GHz,3.10 GHz,2.80 GHz,3.10 GHz,3.10 GHz,2.60 GHz,2.90 GHz,2.20 GHz,2.20 GHz,3.00 GHz,2.20 GHz,3.60 GHz,3.10 GHz,3.70 GHz,3.20 GHz,3.80 GHz,2.90 GHz,2.60 GHz,2.40 GHz,4.00 GHz,3.50 GHz,3.30 GHz,3.20 GHz,3.00 GHz,3.50 GHz,3.30 GHz,2.80 GHz,2.50 GHz,2.20 GHz,3.00 GHz,2.80 GHz,2.60 GHz,800 MHz,800 MHz,1.10 GHz,900 MHz,1.10 GHz,1.20 GHz,2.00 GHz,2.10 GHz,2.10 GHz,2.20 GHz,2.50 GHz,1.60 GHz,2.70 GHz,2.90 GHz,1.80 GHz,2.00 GHz,3.10 GHz,2.20 GHz,2.20 GHz,2.30 GHz,2.40 GHz,2.60 GHz,800 MHz,3.10 GHz,2.80 GHz,3.10 GHz,2.70 GHz,2.50 GHz,3.30 GHz,2.70 GHz,2.90 GHz,3.30 GHz,2.60 GHz,2.70 GHz,3.10 GHz,2.30 GHz,2.70 GHz,2.50 GHz,3.20 GHz,2.70 GHz,2.30 GHz,2.20 GHz,3.30 GHz,2.70 GHz,2.40 GHz,3.50 GHz,2.60 GHz,2.30 GHz,2.50 GHz,4.00 GHz,3.40 GHz,1.10 GHz,900 MHz,1.20 GHz,2.80 GHz,2.40 GHz,1.10 GHz,2.30 GHz,2.60 GHz,2.60 GHz,2.70 GHz,2.70 GHz,2.90 GHz,2.70 GHz,2.70 GHz,2.80 GHz,2.70 GHz,1.90 GHz,2.00 GHz,1.90 GHz,3.30 GHz,3.70 GHz,3.80 GHz,3.90 GHz,3.20 GHz,2.70 GHz,2.00 GHz,2.00 GHz,1.80 GHz,2.20 GHz,3.10 GHz,2.90 GHz,3.30 GHz,2.40 GHz,2.20 GHz,2.80 GHz,2.30 GHz,2.80 GHz,2.80 GHz,3.20 GHz,3.30 GHz,2.70 GHz,2.60 GHz,3.60 GHz,3.60 GHz,3.40 GHz,3.20 GHz,3.00 GHz,1.30 GHz,2.40 GHz,2.50 GHz,1.00 GHz,2.70 GHz,1.20 GHz,2.40 GHz,2.70 GHz,2.90 GHz,3.40 GHz,2.10 GHz,3.40 GHz,3.00 GHz,3.00 GHz,3.60 GHz,4.20 GHz,3.90 GHz,2.90 GHz,3.80 GHz,3.00 GHz,3.50 GHz,2.80 GHz,2.40 GHz,2.80 GHz,3.90 GHz,2.50 GHz,3.50 GHz,4.00 GHz,2.80 GHz,1.20 GHz,3.10 GHz,2.90 GHz,2.80 GHz,2.60 GHz,4.10 GHz,3.40 GHz,2.90 GHz,2.90 GHz,4.20 GHz,3.10 GHz,3.30 GHz,2.10 GHz,2.30 GHz,2.50 GHz,1.10 GHz,2.20 GHz,2.40 GHz,3.50 GHz,2.80 GHz
Cache,20 MB,6 MB,8192,3 MB Intel® Smart Cache,8.25 MB L3 Cache,13.75 MB L3 Cache,11 MB L3 Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,16.5 MB L3 Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,19.25 MB,22 MB,24.75 MB,8 MB,8 MB,6 MB,8 MB,8 MB,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,9 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB,6 MB,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB,3 MB,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,6 MB,6 MB,6 MB,4 MB,3 MB,3 MB,4 MB,4 MB,4 MB,4 MB,4 MB,4 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,3 MB,4 MB Intel® Smart Cache,4 MB,4 MB,3 MB,3 MB,4 MB,4 MB,4 MB,4 MB,4 MB,4 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB,6 MB,8 MB,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB,15 MB,15 MB Intel® Smart Cache,20 MB,25 MB,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB,8 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB,3 MB Intel® Smart Cache,6 MB,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB,4 MB Intel® Smart Cache,8 MB,8 MB,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB,6 MB,4 MB Intel® Smart Cache,4 MB,4 MB,6 MB,4 MB,4 MB,4 MB Intel® Smart Cache,4 MB,4 MB,4 MB,3 MB
Total L2 Cache,2 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® UPI Speed,40 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of UPI Links,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Speed,10 GT/s,8 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,0 GT/s,0 GT/s,0 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,,5 GT/s,,,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,,,,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,,8 GT/s,8 GT/s,,8 GT/s,8 GT/s,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,,4 GT/s,4 GT/s,4 GT/s,,,4 GT/s,4 GT/s
# of QPI Links,0,0,,,0,0,0,,,,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,0,0,0,0,0,,0,,0,0,,,,,,,0,0,,,0,,,,,,,,,,
